2026-03-08T19:16:10.317280452Z 2026-03-08 19:16:10.316 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=google_maps_Google Maps step=extract_google_maps_uri step_name=extract_google_maps_uri event=success duration_ms=0.0
2026-03-08T19:16:10.317323623Z 2026-03-08 19:16:10.317 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=address_Address step=extract_formatted_address step_name=extract_formatted_address event=success duration_ms=0.0
2026-03-08T19:16:10.317608841Z 2026-03-08 19:16:10.317 | INFO | app.services.claude_service:choose_option_from_context:92 - claude_option_selection_options | property_name=Main Type options=["Museum", "Landmark", "Park", "Restaurant/Bar", "Business", "Historic Site", "House", "Bridge"]
2026-03-08T19:16:10.317862658Z 2026-03-08 19:16:10.317 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=title_Name step=extract_display_name step_name=extract_display_name event=success duration_ms=0.0
2026-03-08T19:16:10.318110285Z 2026-03-08 19:16:10.317 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=website_URL step=extract_website_uri step_name=extract_website_uri event=success duration_ms=0.0
2026-03-08T19:16:10.320232564Z 2026-03-08 19:16:10.319 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=noop_Yelp pipeline_name=noop_Yelp event=success duration_ms=36.64
2026-03-08T19:16:10.320247224Z 2026-03-08 19:16:10.319 | INFO | app.services.claude_service:choose_multi_select_from_context:268 - claude_multi_select_options | property_name=Tags options=Restaurant, Brewery, Dog Park, Bar, Food Truck, Movie Theater, Entertainment, Nature, Ramen, Pizza, Seafood, Distillery, Arcade, Museum, Always Free, Free Sometimes, Farm, Landmark, Church, History, Prison, Street, Park, Asylum, Beachside, Oktys-Birthday-Dinner-2024, Deli, House, Burger, Diner, Billiards, Art, Donuts, Chicken, Photography, Literature, Planetarium, Hot Dogs, Tacos, Michelin Starred, Shopping allow_suggest_new=True
2026-03-08T19:16:10.320251234Z 2026-03-08 19:16:10.319 | INFO | app.pipeline_lib.steps.location_relation:execute:136 - location_relation_resolution_started | run_id=508cd9ae property_name=Location
2026-03-08T19:16:10.320685246Z 2026-03-08 19:16:10.320 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=latitude_Latitude step=format_latitude step_name=format_latitude property_name=Latitude
2026-03-08T19:16:10.321042176Z 2026-03-08 19:16:10.320 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=coordinates_Coordinates step=format_coordinates step_name=format_coordinates property_name=Coordinates event=success duration_ms=0.01
2026-03-08T19:16:10.322030063Z 2026-03-08 19:16:10.321 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=longitude_Longitude step=format_longitude step_name=format_longitude property_name=Longitude
2026-03-08T19:16:10.322041674Z 2026-03-08 19:16:10.321 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=google_maps_Google Maps step=format_google_maps step_name=format_google_maps property_name=Google Maps
2026-03-08T19:16:10.322045514Z 2026-03-08 19:16:10.320 | INFO | app.services.claude_service:choose_option_with_suggest_from_context:178 - claude_option_suggest_request | property_name=Neighborhood
2026-03-08T19:16:10.322054184Z 2026-03-08 19:16:10.321 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=address_Address step=format_address step_name=format_address property_name=Address
2026-03-08T19:16:10.322326202Z 2026-03-08 19:16:10.322 | INFO | app.services.claude_service:choose_option_from_context:101 - claude_option_selection_request | property_name=Main Type
2026-03-08T19:16:10.322596029Z 2026-03-08 19:16:10.322 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=title_Name step=format_as_notion_title step_name=format_as_notion_title property_name=Name
2026-03-08T19:16:10.322806095Z 2026-03-08 19:16:10.322 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=website_URL step=format_website step_name=format_website property_name=URL
2026-03-08T19:16:10.323203176Z 2026-03-08 19:16:10.323 | INFO | app.services.claude_service:choose_multi_select_from_context:278 - claude_multi_select_request | property_name=Tags
2026-03-08T19:16:10.323680189Z 2026-03-08 19:16:10.323 | INFO | app.services.claude_service:choose_option_from_context:92 - claude_option_selection_options | property_name=Location options=["Massachusetts", "Las Vegas", "Missouri", "St. Louis", "Cold Spring, MN", "Carlisle, PA", "South Dakota", "Salem, MA", "Washington", "Mexico City", "Ketchikan, Alaska", "Twin Cities, MN", "Boston,  MA", "Chicago", "New York", "Tulum", "Calgary", "Milwaukee", "Minnesota", "Ohio", "Austin", "Los Angeles"]
2026-03-08T19:16:10.324027688Z 2026-03-08 19:16:10.323 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=latitude_Latitude step=format_latitude step_name=format_latitude property_name=Latitude event=success duration_ms=0.04
2026-03-08T19:16:10.325286893Z 2026-03-08 19:16:10.324 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=coordinates_Coordinates pipeline_name=coordinates_Coordinates event=success duration_ms=45.14
2026-03-08T19:16:10.325298633Z 2026-03-08 19:16:10.325 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=longitude_Longitude step=format_longitude step_name=format_longitude property_name=Longitude event=success duration_ms=0.01
2026-03-08T19:16:10.325771897Z 2026-03-08 19:16:10.325 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=google_maps_Google Maps step=format_google_maps step_name=format_google_maps property_name=Google Maps event=success duration_ms=0.01
2026-03-08T19:16:10.327010621Z 2026-03-08 19:16:10.326 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=address_Address step=format_address step_name=format_address property_name=Address event=success duration_ms=0.01
2026-03-08T19:16:10.329738046Z 2026-03-08 19:16:10.328 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=title_Name step=format_as_notion_title step_name=format_as_notion_title property_name=Name event=success duration_ms=0.01
2026-03-08T19:16:10.41581583Z 2026-03-08 19:16:10.328 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=website_URL step=format_website step_name=format_website property_name=URL event=success duration_ms=0.01
2026-03-08T19:16:10.417676262Z 2026-03-08 19:16:10.417 | INFO | app.services.claude_service:choose_option_from_context:101 - claude_option_selection_request | property_name=Location
2026-03-08T19:16:10.418621888Z 2026-03-08 19:16:10.417 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=latitude_Latitude pipeline_name=latitude_Latitude event=success duration_ms=134.16
2026-03-08T19:16:10.419007389Z 2026-03-08 19:16:10.418 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=longitude_Longitude pipeline_name=longitude_Longitude event=success duration_ms=134.42
2026-03-08T19:16:10.419190803Z 2026-03-08 19:16:10.419 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=google_maps_Google Maps pipeline_name=google_maps_Google Maps event=success duration_ms=134.4
2026-03-08T19:16:10.419456461Z 2026-03-08 19:16:10.419 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=address_Address pipeline_name=address_Address event=success duration_ms=134.39
2026-03-08T19:16:10.419700037Z 2026-03-08 19:16:10.419 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=title_Name pipeline_name=title_Name event=success duration_ms=134.01
2026-03-08T19:16:10.420027437Z 2026-03-08 19:16:10.419 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=website_URL event=success duration_ms=134.04
2026-03-08T19:16:11.637479021Z 2026-03-08 19:16:11.637 | INFO | app.services.claude_service:choose_option_from_context:125 - claude_option_selection_response | property_name=Main Type
2026-03-08T19:16:11.637664806Z 2026-03-08 19:16:11.637 | INFO | app.services.claude_service:choose_option_from_context:136 - claude_option_selection_validated | property_name=Main Type
2026-03-08T19:16:11.637850601Z 2026-03-08 19:16:11.637 | INFO | app.custom_pipelines.primary_type:execute:70 - main_type_option_selection_result | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=primary_type_Main Type step=infer_primary_type step_name=infer_primary_type property_name=Main Type
2026-03-08T19:16:11.638049896Z 2026-03-08 19:16:11.637 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=title_Name pipeline_name=primary_type_Main Type step=infer_primary_type step_name=infer_primary_type property_name=Main Type event=success duration_ms=1352.68
2026-03-08T19:16:11.638348534Z 2026-03-08 19:16:11.638 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=primary_type_Main Type step=format_primary_type step_name=format_primary_type property_name=Main Type
2026-03-08T19:16:11.638567971Z 2026-03-08 19:16:11.638 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=primary_type_Main Type step=format_primary_type step_name=format_primary_type property_name=Main Type event=success duration_ms=0.01
2026-03-08T19:16:11.638895289Z 2026-03-08 19:16:11.638 | INFO | app.pipeline_lib.logging:_emit:35 - pipeline_completed | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=primary_type_Main Type pipeline_name=primary_type_Main Type event=success duration_ms=1357.08
2026-03-08T19:16:11.689429863Z 2026-03-08 19:16:11.689 | INFO | app.services.claude_service:choose_option_from_context:125 - claude_option_selection_response | property_name=Location
2026-03-08T19:16:11.689849535Z 2026-03-08 19:16:11.689 | INFO | app.services.claude_service:choose_option_from_context:136 - claude_option_selection_validated | property_name=Location
2026-03-08T19:16:11.689856705Z 2026-03-08 19:16:11.689 | INFO | app.services.location_service:resolve_or_create:196 - location_relation_matched
2026-03-08T19:16:11.690081341Z 2026-03-08 19:16:11.689 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=location_relation_Location step=resolve_location_relation step_name=resolve_location_relation property_name=Location event=success duration_ms=1369.83
